epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,145.09,1.33987,1.27566,1.54933,0.96249,0.69017,0.80483,0.54738,1.18076,1.04707,1.49929,0.0005842,0.0005842,0.0005842
23,152.519,1.38122,1.29007,1.5784,0.97621,0.69231,0.82551,0.56035,1.17324,1.0102,1.47856,0.0005644,0.0005644,0.0005644
24,159.252,1.2938,1.23939,1.51978,0.97615,0.69953,0.81641,0.55351,1.18155,0.99208,1.47242,0.0005446,0.0005446,0.0005446
25,165.967,1.32156,1.27859,1.54713,0.98384,0.71154,0.82465,0.56905,1.14173,0.98606,1.44938,0.0005248,0.0005248,0.0005248
26,171.577,1.23583,1.21319,1.49353,0.96696,0.70299,0.82089,0.58016,1.11163,0.96904,1.42842,0.000505,0.000505,0.000505
27,178.392,1.27571,1.23313,1.52021,0.95787,0.7094,0.8229,0.56153,1.14086,0.98635,1.44627,0.0004852,0.0004852,0.0004852
28,185.381,1.23712,1.1903,1.50354,0.96949,0.70085,0.83669,0.57904,1.11618,0.99031,1.43575,0.0004654,0.0004654,0.0004654
29,192.405,1.26331,1.16185,1.4926,0.95984,0.71499,0.84254,0.596,1.09711,0.96173,1.43415,0.0004456,0.0004456,0.0004456
30,198.325,1.22584,1.08414,1.44963,0.95724,0.71745,0.85453,0.60315,1.09078,0.9396,1.43667,0.0004258,0.0004258,0.0004258
31,203.781,1.19033,1.09417,1.44668,0.95453,0.71767,0.8436,0.59315,1.11008,0.93633,1.4558,0.000406,0.000406,0.000406
32,209.206,1.20553,1.13811,1.46846,0.95781,0.72757,0.85716,0.60107,1.09212,0.91674,1.43944,0.0003862,0.0003862,0.0003862
33,216.341,1.28277,1.21458,1.52263,0.968,0.71107,0.85384,0.60335,1.11533,0.94945,1.46273,0.0003664,0.0003664,0.0003664
34,221.65,1.21924,1.14419,1.47328,0.95055,0.73077,0.8482,0.60898,1.05137,0.90454,1.37333,0.0003466,0.0003466,0.0003466
35,226.86,1.13973,1.05276,1.42246,0.96882,0.73031,0.85275,0.60708,1.0467,0.89468,1.35755,0.0003268,0.0003268,0.0003268
36,232.323,1.15806,1.05699,1.39451,0.94812,0.74194,0.86639,0.61309,1.03278,0.86985,1.36277,0.000307,0.000307,0.000307
37,237.696,1.20148,1.10316,1.45497,0.95599,0.74258,0.8692,0.6283,1.02771,0.8622,1.361,0.0002872,0.0002872,0.0002872
38,243.183,1.13609,1.06705,1.4033,0.98291,0.72222,0.87279,0.63115,1.03927,0.84628,1.37917,0.0002674,0.0002674,0.0002674
39,248.714,1.20675,1.08377,1.46507,0.98326,0.72222,0.87923,0.63515,1.02475,0.83085,1.36895,0.0002476,0.0002476,0.0002476
40,254.194,1.12376,0.98385,1.40386,0.98592,0.72222,0.88582,0.63579,0.9991,0.82769,1.35411,0.0002278,0.0002278,0.0002278
41,266.378,1.05401,0.94843,1.36663,0.97977,0.73077,0.88741,0.64256,0.9974,0.82071,1.34576,0.000208,0.000208,0.000208
42,272.179,1.03062,0.92088,1.36978,0.95132,0.75,0.89222,0.64731,0.97855,0.7985,1.33087,0.0001882,0.0001882,0.0001882
43,277.932,1.03361,0.90241,1.35712,0.97211,0.74145,0.88282,0.64026,0.99584,0.81738,1.35624,0.0001684,0.0001684,0.0001684
44,284.672,1.04272,0.90053,1.36869,0.97211,0.74467,0.88305,0.64547,0.97212,0.81231,1.33808,0.0001486,0.0001486,0.0001486
45,291.651,0.9626,0.81912,1.30825,0.95653,0.75236,0.89127,0.66082,0.93448,0.77788,1.30458,0.0001288,0.0001288,0.0001288
46,298.186,0.98215,0.83078,1.29933,0.96772,0.74786,0.893,0.66215,0.91666,0.76885,1.29008,0.000109,0.000109,0.000109
47,305.16,0.97739,0.84624,1.32628,0.96702,0.75195,0.89307,0.66467,0.92185,0.77327,1.29531,8.92e-05,8.92e-05,8.92e-05
48,312.112,0.95282,0.83865,1.31087,0.95449,0.76192,0.89612,0.66991,0.9159,0.77495,1.29216,6.94e-05,6.94e-05,6.94e-05
49,318.915,0.97166,0.8796,1.34384,0.96244,0.76656,0.89998,0.67381,0.90238,0.76401,1.28055,4.96e-05,4.96e-05,4.96e-05
50,324.763,0.94053,0.82709,1.28796,0.9614,0.77137,0.90349,0.67868,0.89913,0.76081,1.27924,2.98e-05,2.98e-05,2.98e-05
