epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.01624,1.7519,2.34408,1.87952,0.30013,0.11111,0.13193,0.04318,2.08194,2.93006,2.61362,0.0674925,0.000328358,0.000328358
2,16.3833,1.72466,1.99435,1.88326,0.70925,0.56815,0.61028,0.32862,1.65371,1.71314,1.99854,0.0344794,0.00064859,0.00064859
3,22.2826,1.71859,1.90158,1.92667,0.81462,0.57275,0.63941,0.39426,1.45455,1.52004,1.73381,0.00145313,0.000955622,0.000955622
4,27.6128,1.61641,1.80851,1.82418,0.78942,0.61538,0.65823,0.40129,1.41213,1.46264,1.72294,0.0009406,0.0009406,0.0009406
5,33.1239,1.54794,1.80086,1.79145,0.8042,0.63188,0.70237,0.43583,1.39027,1.77773,1.71024,0.0009208,0.0009208,0.0009208
6,38.5714,1.5698,1.70525,1.79549,0.83627,0.61538,0.68689,0.40931,1.53236,1.65113,1.76759,0.000901,0.000901,0.000901
7,44.0513,1.56435,1.66372,1.7227,0.76192,0.64278,0.67004,0.40047,1.46162,1.47558,1.72073,0.0008812,0.0008812,0.0008812
8,49.4816,1.54591,1.62684,1.74463,0.89401,0.65385,0.72129,0.4688,1.35044,1.34842,1.65394,0.0008614,0.0008614,0.0008614
9,54.7775,1.53667,1.66142,1.74134,0.85557,0.65598,0.72944,0.4746,1.30418,1.35349,1.61933,0.0008416,0.0008416,0.0008416
10,60.2255,1.47888,1.55266,1.70219,0.90895,0.67308,0.75793,0.50585,1.33365,1.34077,1.65701,0.0008218,0.0008218,0.0008218
11,65.6697,1.51469,1.55327,1.72584,0.94095,0.66453,0.73691,0.47643,1.40014,1.34608,1.74659,0.000802,0.000802,0.000802
12,72.9662,1.45305,1.51941,1.66622,0.86806,0.68883,0.76881,0.51301,1.26775,1.2744,1.62887,0.0007822,0.0007822,0.0007822
13,79.8276,1.46537,1.49538,1.65798,0.90103,0.68084,0.75607,0.50752,1.2901,1.31515,1.62561,0.0007624,0.0007624,0.0007624
14,86.8365,1.44623,1.51384,1.67877,0.90219,0.68979,0.7844,0.50029,1.29141,1.22132,1.63158,0.0007426,0.0007426,0.0007426
15,93.6884,1.44761,1.48867,1.68533,0.94662,0.69444,0.79623,0.53233,1.27157,1.16849,1.57321,0.0007228,0.0007228,0.0007228
16,100.51,1.40918,1.42928,1.61656,0.95003,0.69059,0.79357,0.53503,1.25914,1.09745,1.53902,0.000703,0.000703,0.000703
17,108.974,1.43132,1.3835,1.64717,0.94179,0.69146,0.80373,0.54039,1.23024,1.06174,1.52134,0.0006832,0.0006832,0.0006832
18,115.665,1.35323,1.32515,1.58914,0.96114,0.687,0.78937,0.52987,1.24325,1.11453,1.50511,0.0006634,0.0006634,0.0006634
19,122.48,1.40641,1.33171,1.61916,0.96443,0.6859,0.78207,0.51756,1.27483,1.20151,1.56465,0.0006436,0.0006436,0.0006436
20,130.153,1.30396,1.25549,1.56348,0.95569,0.6913,0.80361,0.54721,1.20051,1.04829,1.5179,0.0006238,0.0006238,0.0006238
21,137.444,1.36447,1.24223,1.56596,0.92063,0.69399,0.79474,0.54063,1.23184,1.10382,1.52364,0.000604,0.000604,0.000604
