epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.21431,2.45644,6.78161,2.55451,0.05185,0.33333,0.05441,0.01452,2.09739,5.54914,2.38259,0.1,0,0
2,2.62642,1.9796,6.6032,2.10902,0.05241,0.5,0.04988,0.01928,2.02955,6.06745,2.30744,0.099001,9.99756e-07,9.99756e-07
3,2.96257,1.71232,6.66323,2.20004,0.04545,0.5,0.05233,0.01831,2.04838,5.78258,2.32473,0.098002,1.99805e-06,1.99805e-06
4,3.29387,2.20941,5.91396,2.22136,0.05993,0.5,0.04588,0.01122,2.0681,5.9436,2.30854,0.097003,2.99341e-06,2.99341e-06
5,3.66141,1.99103,7.07407,2.03498,0.04248,0.33333,0.0298,0.00955,2.10094,6.12018,2.34058,0.096004,3.98439e-06,3.98439e-06
6,3.9873,1.7184,6.8458,2.02698,0.03359,0.33333,0.02805,0.00843,2.15332,5.9695,2.37743,0.095005,4.96953e-06,4.96953e-06
7,4.31376,1.98689,5.49943,2.03812,0.03091,0.33333,0.02757,0.00828,2.1955,5.94601,2.38724,0.0940059,5.94739e-06,5.94739e-06
8,4.65486,2.11251,11.0844,2.39842,0.04571,0.5,0.04847,0.01075,2.19417,5.98236,2.40429,0.0930069,6.91655e-06,6.91655e-06
9,5.05663,1.69123,7.49556,2.17889,0.11285,0.33333,0.14325,0.05179,1.78402,3.68489,2.19033,0.0920079,7.87559e-06,7.87559e-06
10,5.61635,1.93894,2.74879,2.1837,0.14286,0.5,0.15743,0.0679,1.92154,3.20169,2.20502,0.0910088,8.82311e-06,8.82311e-06
11,6.38515,1.65983,2.32407,1.57826,0.19048,0.66667,0.1916,0.1055,2.12375,2.92799,2.31081,0.0900098,9.75773e-06,9.75773e-06
12,7.37358,1.61803,1.98396,1.945,0.1875,0.5,0.20312,0.10779,2.44286,3.17108,2.64098,0.0890107,1.06781e-05,1.06781e-05
13,8.0638,1.38654,1.67575,1.72139,0.17549,0.5,0.21975,0.09486,2.56716,3.44209,2.81885,0.0880116,1.15829e-05,1.15829e-05
14,8.91645,1.31402,1.31901,1.5708,0.26017,0.47122,0.19138,0.03789,2.66146,3.40759,2.86184,0.0870125,1.24708e-05,1.24708e-05
15,9.49559,1.92219,2.08363,2.34707,0.18182,0.66667,0.20325,0.05883,2.63079,3.41396,2.81256,0.0860133,1.33405e-05,1.33405e-05
16,10.0552,1.78447,2.06109,1.64555,0.30973,0.33333,0.17546,0.02937,2.76515,3.44192,2.91133,0.0850142,1.41907e-05,1.41907e-05
17,10.6708,1.34655,1.38802,1.31276,0.14286,0.33333,0.10321,0.01905,2.98877,3.14826,3.07614,0.084015,1.50203e-05,1.50203e-05
18,11.2343,1.70499,1.82765,1.87224,0.14286,0.33333,0.10321,0.01905,2.98877,3.14826,3.07614,0.0830158,1.58281e-05,1.58281e-05
19,11.8856,1.57263,1.47696,1.74713,0.08333,0.16667,0.05136,0.01541,2.98164,3.07561,3.08099,0.0820166,1.6613e-05,1.6613e-05
20,12.4392,1.06094,1.27613,1.52865,0.08333,0.16667,0.05136,0.01541,2.98164,3.07561,3.08099,0.0810174,1.73737e-05,1.73737e-05
21,13.0289,0.83172,1.34606,1.20127,0.21429,0.5,0.21964,0.03344,3.01591,2.99642,3.06642,0.0800181,1.81093e-05,1.81093e-05
22,13.5426,1.39342,1.22058,1.37179,0.21429,0.5,0.21964,0.03344,3.01591,2.99642,3.06642,0.0790188,1.88187e-05,1.88187e-05
