epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,276.241,3.27875,0.16787,1.79894,0.93735,0.67141,0.76046,0.37201,3.50579,0.14625,1.84691,6.57963e-05,6.57963e-05,6.57963e-05
42,282.661,3.2011,0.16332,1.7607,0.91729,0.6688,0.75742,0.41136,3.27512,0.14111,1.74524,6.43101e-05,6.43101e-05,6.43101e-05
43,289.357,3.26022,0.16806,1.77835,0.91822,0.67949,0.76427,0.39455,3.37835,0.13722,1.78186,6.28101e-05,6.28101e-05,6.28101e-05
44,296.019,3.16868,0.16133,1.74532,0.93212,0.68162,0.7696,0.38959,3.40699,0.13647,1.7918,6.12981e-05,6.12981e-05,6.12981e-05
45,302.638,3.12398,0.16081,1.74364,0.93802,0.6859,0.77054,0.37811,3.49373,0.13497,1.81632,5.97754e-05,5.97754e-05,5.97754e-05
46,309.403,3.22191,0.16275,1.77487,0.94625,0.67716,0.76895,0.3656,3.60522,0.13522,1.85926,5.82435e-05,5.82435e-05,5.82435e-05
47,315.813,3.12071,0.15633,1.73115,0.92916,0.6859,0.76624,0.39189,3.39246,0.13085,1.77432,5.6704e-05,5.6704e-05,5.6704e-05
48,322.459,3.19554,0.16203,1.74418,0.91898,0.68162,0.76471,0.39662,3.36277,0.13109,1.76434,5.51584e-05,5.51584e-05,5.51584e-05
49,329.193,3.18697,0.16163,1.75165,0.91396,0.68376,0.76676,0.36296,3.60447,0.13428,1.85832,5.36081e-05,5.36081e-05,5.36081e-05
50,335.815,3.25939,0.16369,1.7916,0.92407,0.68376,0.77135,0.34012,3.81176,0.13723,1.95443,5.20548e-05,5.20548e-05,5.20548e-05
51,342.49,3.16847,0.16368,1.75478,0.92141,0.68803,0.77432,0.35572,3.72909,0.13529,1.92426,5.05e-05,5.05e-05,5.05e-05
52,349.276,3.1668,0.16097,1.74194,0.91324,0.70513,0.7763,0.40194,3.40303,0.12903,1.78738,4.89452e-05,4.89452e-05,4.89452e-05
