epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.56843,4.74842,0.28993,2.49304,0.00411,0.77778,0.01231,0.00259,6.17249,0.39295,3.83996,0.084016,1.6e-05,1.6e-05
2,14.1369,3.73317,0.27374,2.08224,0.00481,0.91026,0.04113,0.00918,5.17907,0.37184,3.25757,0.067033,3.29919e-05,3.29919e-05
3,20.5518,3.60309,0.24012,1.99785,0.01622,0.66453,0.24509,0.07596,4.39873,0.30411,2.51984,0.05005,4.99512e-05,4.99512e-05
4,27.2439,3.73924,0.22778,2.02326,0.43505,0.38174,0.3434,0.12483,4.11702,0.26505,2.25541,0.0330669,6.68528e-05,6.68528e-05
5,33.8,3.73933,0.21673,2.00433,0.55326,0.39164,0.41532,0.14478,3.82157,0.23864,2.05787,0.0160837,8.36721e-05,8.36721e-05
6,40.1383,3.58824,0.20879,1.94497,0.53883,0.4394,0.42586,0.14597,3.84998,0.2223,2.07549,9.93906e-05,9.93906e-05,9.93906e-05
7,46.8612,3.68211,0.21337,2.01154,0.57108,0.4765,0.49301,0.17612,3.88855,0.20699,2.09691,9.91232e-05,9.91232e-05,9.91232e-05
8,53.2968,3.53439,0.20534,1.96133,0.6997,0.5128,0.5736,0.18364,4.08279,0.20486,2.1975,9.88079e-05,9.88079e-05,9.88079e-05
9,61.1183,3.52808,0.20564,1.95469,0.73073,0.53632,0.60369,0.20657,4.0084,0.20204,2.15465,9.84449e-05,9.84449e-05,9.84449e-05
10,68.2146,3.56205,0.20671,1.96113,0.7004,0.60443,0.6171,0.24926,3.7867,0.18946,2.0364,9.80345e-05,9.80345e-05,9.80345e-05
11,75.0714,3.53151,0.19944,1.94503,0.70761,0.6047,0.60275,0.26629,3.64817,0.18585,1.95874,9.75773e-05,9.75773e-05,9.75773e-05
12,81.973,3.46871,0.1984,1.93218,0.74155,0.55128,0.60421,0.20689,3.99857,0.20299,2.13679,9.70736e-05,9.70736e-05,9.70736e-05
13,88.5365,3.48165,0.20001,1.91704,0.72893,0.58607,0.62802,0.21583,3.93009,0.19906,2.08444,9.65239e-05,9.65239e-05,9.65239e-05
14,95.2919,3.51243,0.19294,1.91765,0.74998,0.59188,0.65565,0.24429,3.79062,0.18958,2.00512,9.59289e-05,9.59289e-05,9.59289e-05
15,101.888,3.50242,0.19744,1.91673,0.76702,0.58389,0.65372,0.23068,3.92223,0.19015,2.05951,9.52889e-05,9.52889e-05,9.52889e-05
16,108.51,3.47848,0.19111,1.88447,0.78758,0.57051,0.63552,0.19213,4.22593,0.19834,2.22565,9.46048e-05,9.46048e-05,9.46048e-05
17,115.251,3.3995,0.18913,1.866,0.78905,0.59945,0.65551,0.23204,4.03981,0.18617,2.13358,9.38772e-05,9.38772e-05,9.38772e-05
18,121.878,3.43693,0.18796,1.88053,0.82181,0.58144,0.6551,0.23022,4.12106,0.18572,2.18533,9.31067e-05,9.31067e-05,9.31067e-05
19,128.43,3.40636,0.18912,1.87255,0.84134,0.57906,0.66308,0.22215,4.21658,0.18555,2.23755,9.22942e-05,9.22942e-05,9.22942e-05
20,135.332,3.45074,0.18574,1.877,0.80549,0.61966,0.69163,0.26174,4.00902,0.17976,2.11298,9.14405e-05,9.14405e-05,9.14405e-05
21,141.997,3.26445,0.17607,1.81237,0.83039,0.63462,0.70652,0.28014,3.90704,0.17641,2.04559,9.05463e-05,9.05463e-05,9.05463e-05
22,148.736,3.44507,0.18577,1.89572,0.83725,0.6453,0.71551,0.28293,3.89917,0.17183,2.03228,8.96127e-05,8.96127e-05,8.96127e-05
23,155.284,3.2853,0.17721,1.78849,0.83792,0.65598,0.72081,0.2965,3.84302,0.16698,2.01707,8.86404e-05,8.86404e-05,8.86404e-05
24,162.091,3.34656,0.17778,1.83267,0.82135,0.65812,0.72331,0.31197,3.75652,0.16286,1.99204,8.76305e-05,8.76305e-05,8.76305e-05
25,168.668,3.28059,0.17444,1.80657,0.85216,0.62179,0.69926,0.26249,4.05102,0.17229,2.14596,8.65839e-05,8.65839e-05,8.65839e-05
26,175.78,3.41284,0.1856,1.86007,0.85322,0.64744,0.72173,0.2944,3.94108,0.16336,2.05736,8.55018e-05,8.55018e-05,8.55018e-05
27,182.693,3.32764,0.17227,1.79809,0.87601,0.64912,0.7299,0.33388,3.66672,0.1545,1.90549,8.43851e-05,8.43851e-05,8.43851e-05
28,190.101,3.2514,0.1739,1.79618,0.87891,0.65136,0.72925,0.31487,3.76829,0.15356,1.93784,8.32349e-05,8.32349e-05,8.32349e-05
29,197.839,3.3546,0.17206,1.81565,0.83632,0.65171,0.72965,0.29921,3.85858,0.15822,1.99839,8.20525e-05,8.20525e-05,8.20525e-05
30,204.283,3.31548,0.17613,1.81585,0.83096,0.65598,0.72094,0.2909,3.90831,0.16135,2.02636,8.08389e-05,8.08389e-05,8.08389e-05
31,210.911,3.31661,0.17047,1.82598,0.87375,0.64744,0.72516,0.31358,3.78731,0.15854,1.97085,7.95954e-05,7.95954e-05,7.95954e-05
32,217.575,3.27888,0.17217,1.81587,0.88856,0.67094,0.73849,0.30097,3.92054,0.15728,2.03517,7.83231e-05,7.83231e-05,7.83231e-05
33,224.105,3.24859,0.17447,1.81473,0.91038,0.67287,0.74788,0.31709,3.81721,0.15087,1.98023,7.70234e-05,7.70234e-05,7.70234e-05
34,230.587,3.29832,0.17535,1.82547,0.89895,0.67521,0.74831,0.35663,3.58067,0.14462,1.86964,7.56976e-05,7.56976e-05,7.56976e-05
35,237.073,3.31155,0.17239,1.80194,0.90571,0.67735,0.74842,0.36383,3.58458,0.14276,1.88089,7.43468e-05,7.43468e-05,7.43468e-05
36,243.662,3.2791,0.16989,1.79565,0.90198,0.66853,0.74099,0.3355,3.7937,0.14285,1.97934,7.29725e-05,7.29725e-05,7.29725e-05
37,250.195,3.23789,0.17216,1.774,0.92327,0.66453,0.74524,0.3486,3.71508,0.14058,1.94033,7.15761e-05,7.15761e-05,7.15761e-05
38,256.816,3.22974,0.17025,1.80292,0.92731,0.67308,0.75537,0.38536,3.41512,0.13551,1.81293,7.01588e-05,7.01588e-05,7.01588e-05
39,263.262,3.17311,0.16242,1.72948,0.94228,0.67521,0.76446,0.38799,3.39265,0.13633,1.80263,6.87222e-05,6.87222e-05,6.87222e-05
40,269.651,3.14074,0.16323,1.75906,0.92944,0.67555,0.76723,0.34305,3.70661,0.14664,1.94116,6.72675e-05,6.72675e-05,6.72675e-05
